;Symbol;GSM26878.CEL;GSM26883.CEL;GSM26887.CEL;GSM26903.CEL;GSM26910.CEL;GSM26888.CEL;GSM26889.CEL;GSM26892.CEL;GSM26898.CEL;GSM26906.CEL;GSM26879.CEL;GSM26896.CEL;GSM26897.CEL;GSM26907.CEL;GSM26911.CEL
214850_at;SMA4;7,45833343421601;7,1460651090169;6,808537324869;7,72127527116636;6,89408505687132;6,55732890659602;6,71006300075665;6,84845036228149;6,56572319503284;6,89838606466325;7,35890274527339;6,86289700102392;8,45784166331163;6,89408505687132;6,72958068873174
214853_s_at;SHC1;11,0388354610412;10,4059149619124;10,6105146133883;10,0375956982743;10,7632080268034;10,7636445380445;11,2330177032286;10,1906651164627;10,3588656405095;10,4021494627481;11,1026932684213;10,5501077846932;10,8449853263699;10,3906672590107;10,2525694312294
214858_at;LOC100130449;5,59171503703925;6,06338862824872;6,02657435793261;5,3453050936619;5,21500594329149;5,19502017663287;5,16922776173784;5,14152723091195;5,20569757282941;5,03455876570234;7,23734911718276;6,17282387295359;6,18266654788297;7,36272423167609;6,09845351615253
214864_s_at;GRHPR;9,98129631418982;9,8203636745057;9,5213460854563;9,90352416298823;9,1712212431077;9,82644830316001;10,0679862885644;10,7545522948495;10,0493503846853;9,81780024260308;10,175225889895;9,79874671605354;10,2058533717581;10,198500104097;9,00343907588368
214866_at;PLAUR;7,67158328831954;7,98173024738314;7,44707021503425;8,20177188077718;7,46420697517656;8,3420478767351;8,3094207657395;8,56565910774037;7,67193118888601;8,17617248933573;8,04018855459694;7,53109952257882;7,70114757443541;7,5799951311711;7,66471903107763
214875_x_at;APLP2;10,0988529934804;10,4314156144139;11,5693421674747;11,8607723781456;10,4588318301143;10,1490898698317;10,2902644389158;9,95598021771362;9,4536039718606;10,1034823249964;9,97936742264347;9,49828083128887;9,35354092593604;9,08923653593288;10,82290372122
214900_at;ZKSCAN1;7,02579479712827;8,0176546566051;7,63679173825526;6,7347284061519;7,03103020112154;6,81593655839925;6,68422614755563;6,74005271113858;6,82092657639307;6,52865479020582;6,93703783884057;6,785125370487;7,27713898916558;6,89483963145398;6,92877545500312
214909_s_at;DDAH2;8,06696994413274;8,57371784610748;7,54032907322974;7,10072366478555;7,81294519427397;8,24837411995621;8,63670750100887;7,51259536790548;9,19109838436772;7,84225938935766;8,42099885351357;8,36903909651418;8,82751826879758;9,0244651305341;8,63725174297973
214911_s_at;BRD2;9,41104634899889;9,63419224795238;9,18063534980454;9,48570235135059;9,08740895738032;8,71647801016046;8,76993447689048;8,89429918491032;9,41225833456408;9,29854695410588;9,66394867837999;9,09787297210736;9,54408356681203;9,45262326171376;8,97691841542226
214913_at;ADAMTS3;5,28120011523144;4,91458549417817;5,64809186540149;6,1800304530212;5,66546818714618;5,22637541551611;5,04144949984386;5,06805915828895;5,3237252838586;5,25448020017953;4,97234720153209;5,38379906275142;5,19660435970152;5,06361295831193;5,02819325741404
214924_s_at;TRAK1;8,09629312109752;8,19234756633;8,01387255629214;8,16692726113069;7,6969385309251;8,26030173787572;8,8969116881417;7,72387969996496;8,78068425477893;7,98638954757929;8,37452672051245;8,27995120580735;8,68244215789288;8,10829864497943;8,04139440903806
214927_at;ITGBL1;8,27470530138086;8,40140638117562;7,1756664575338;6,89120830393072;8,05162036353787;8,38352137174426;7,43885032037304;6,77850959101267;9,65460658264597;7,15615082852084;7,8512617384686;8,67727346789347;8,95947195660056;7,89133950287688;7,33364017730277
214930_at;SLITRK5;6,62441376225368;5,84748181195548;5,62264601569386;5,51579418449572;6,4207810112116;5,79881039185515;6,07763486915745;6,7940543506238;6,74516591735847;5,48804798574708;5,67067184416425;5,86917952646188;5,63642137661441;5,80988207154579;5,88801366015435
214933_at;CACNA1A;7,04814246091839;7,55363912745488;6,89837639553165;6,97993888341372;7,28196619767953;7,17572333301264;6,84707002930495;6,80763009847717;7,19794950472213;7,6823803763245;7,26134795442565;7,16352006085522;6,81775860299454;7,54102181453639;7,59789170413288
214934_at;ATP9B;7,56655853872819;7,24367876629435;7,06669486266356;7,67457653018765;7,11331292254326;7,66119783658718;7,77450550428053;6,92489143700797;7,49667078688481;7,45326788615282;7,76098707911585;8,01757750535968;7,27458208070538;7,96838338675167;6,71376135483697
214937_x_at;PCM1;7,80222036383148;7,40118421113025;8,30583186944923;8,48803041696301;7,89673173888463;8,15466790162856;8,35654492724966;8,48617277493522;8,60425616741745;8,90863996127192;8,27813226449603;8,80450415387158;8,95834344863307;8,44318933479911;7,76612408986191
